과목,강좌명,강사,강좌구분,난이도,링크
국어,고등학교 학점 이수 지원 온라인 수업(화법과 언어),[연합]김상태,기타,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000955
국어,고등학교 학점 이수 지원 온라인 수업(독서와 작문),[연합]김상태,기타,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000956
국어,고등학교 학점 이수 지원 온라인 수업(문학),[연합]이현진,기타,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000957
국어,[올림포스] 독서와 작문 (2022 개정),차해나,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000948
국어,[올림포스] 화법과 언어 (2022 개정),김상태,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000949
국어,[2027 수능개념] 윤혜정의 개념의 나비효과 수능 편,윤혜정,문제풀이,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000785
국어,[2027 수능개념] 윤혜정의 개념의 나비효과 수능 편 워크북,윤혜정,문제풀이,기초,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000787
국어,[2027 수능개념] 윤혜정의 패턴의 나비효과,윤혜정,문제풀이,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000789
국어,"[(고1, 2를 위한) 2028 수능개념] 최서희의 국어 담판",최서희,입문,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000810
국어,"[(고1, 2를 위한) 2028 수능개념] 한병훈의 퀀텀점프",한병훈,입문,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000811
국어,"[(고1, 2를 위한) 2028 수능개념] 이현진의 화언장담 - 화법과 언어",이현진,입문,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000812
국어,"[(고1, 2를 위한) 2028 수능개념] 김철회의 알고리즘 독서와 작문",김철회,입문,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000813
국어,"[(고1, 2를 위한) 2028 수능개념] 남궁민의 개기일식 문학",남궁민,입문,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000814
국어,[국어의 원리] 고전 시가 독해,조은아,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000726
국어,[국어의 원리] 고전 시가 독해 워크북,김진원,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000727
국어,고등학교 학점 이수 지원 온라인 수업(화법과 언어),[연합]김상태,기타,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000955
국어,고등학교 학점 이수 지원 온라인 수업(독서와 작문),[연합]김상태,기타,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000956
국어,고등학교 학점 이수 지원 온라인 수업(문학),[연합]이현진,기타,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000957
국어,[올림포스] 독서와 작문 (2022 개정),차해나,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000948
국어,[올림포스] 화법과 언어 (2022 개정),김상태,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000949
국어,[2027 수능개념] 윤혜정의 개념의 나비효과 수능 편,윤혜정,문제풀이,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000785
국어,[2027 수능개념] 윤혜정의 개념의 나비효과 수능 편 워크북,윤혜정,문제풀이,기초,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000787
국어,[2027 수능개념] 윤혜정의 패턴의 나비효과,윤혜정,문제풀이,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000789
국어,"[(고1, 2를 위한) 2028 수능개념] 최서희의 국어 담판",최서희,입문,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000810
국어,"[(고1, 2를 위한) 2028 수능개념] 한병훈의 퀀텀점프",한병훈,입문,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000811
국어,"[(고1, 2를 위한) 2028 수능개념] 이현진의 화언장담 - 화법과 언어",이현진,입문,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000812
국어,"[(고1, 2를 위한) 2028 수능개념] 김철회의 알고리즘 독서와 작문",김철회,입문,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000813
국어,"[(고1, 2를 위한) 2028 수능개념] 남궁민의 개기일식 문학",남궁민,입문,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000814
국어,[국어의 원리] 고전 시가 독해,조은아,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000726
국어,[국어의 원리] 고전 시가 독해 워크북,김진원,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000727
국어,고등학교 학점 이수 지원 온라인 수업(화법과 언어),[연합]김상태,기타,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000955
국어,고등학교 학점 이수 지원 온라인 수업(독서와 작문),[연합]김상태,기타,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000956
국어,고등학교 학점 이수 지원 온라인 수업(문학),[연합]이현진,기타,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000957
국어,[올림포스] 독서와 작문 (2022 개정),차해나,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000948
국어,[올림포스] 화법과 언어 (2022 개정),김상태,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000949
국어,[2027 수능개념] 윤혜정의 개념의 나비효과 수능 편,윤혜정,문제풀이,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000785
국어,[2027 수능개념] 윤혜정의 개념의 나비효과 수능 편 워크북,윤혜정,문제풀이,기초,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000787
국어,[2027 수능개념] 윤혜정의 패턴의 나비효과,윤혜정,문제풀이,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000789
국어,"[(고1, 2를 위한) 2028 수능개념] 최서희의 국어 담판",최서희,입문,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000810
국어,"[(고1, 2를 위한) 2028 수능개념] 한병훈의 퀀텀점프",한병훈,입문,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000811
국어,"[(고1, 2를 위한) 2028 수능개념] 이현진의 화언장담 - 화법과 언어",이현진,입문,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000812
국어,"[(고1, 2를 위한) 2028 수능개념] 김철회의 알고리즘 독서와 작문",김철회,입문,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000813
국어,"[(고1, 2를 위한) 2028 수능개념] 남궁민의 개기일식 문학",남궁민,입문,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000814
국어,[국어의 원리] 고전 시가 독해,조은아,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000726
국어,[국어의 원리] 고전 시가 독해 워크북,김진원,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000727
국어,고등학교 학점 이수 지원 온라인 수업(화법과 언어),[연합]김상태,기타,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000955
국어,고등학교 학점 이수 지원 온라인 수업(독서와 작문),[연합]김상태,기타,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000956
국어,고등학교 학점 이수 지원 온라인 수업(문학),[연합]이현진,기타,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000957
국어,[올림포스] 독서와 작문 (2022 개정),차해나,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000948
국어,[올림포스] 화법과 언어 (2022 개정),김상태,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000949
국어,[2027 수능개념] 윤혜정의 개념의 나비효과 수능 편,윤혜정,문제풀이,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000785
국어,[2027 수능개념] 윤혜정의 개념의 나비효과 수능 편 워크북,윤혜정,문제풀이,기초,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000787
국어,[2027 수능개념] 윤혜정의 패턴의 나비효과,윤혜정,문제풀이,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000789
국어,"[(고1, 2를 위한) 2028 수능개념] 최서희의 국어 담판",최서희,입문,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000810
국어,"[(고1, 2를 위한) 2028 수능개념] 한병훈의 퀀텀점프",한병훈,입문,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000811
국어,"[(고1, 2를 위한) 2028 수능개념] 이현진의 화언장담 - 화법과 언어",이현진,입문,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000812
국어,"[(고1, 2를 위한) 2028 수능개념] 김철회의 알고리즘 독서와 작문",김철회,입문,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000813
국어,"[(고1, 2를 위한) 2028 수능개념] 남궁민의 개기일식 문학",남궁민,입문,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000814
국어,[국어의 원리] 고전 시가 독해,조은아,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000726
국어,[국어의 원리] 고전 시가 독해 워크북,김진원,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000727
국어,고등학교 학점 이수 지원 온라인 수업(화법과 언어),[연합]김상태,기타,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000955
국어,고등학교 학점 이수 지원 온라인 수업(독서와 작문),[연합]김상태,기타,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000956
국어,고등학교 학점 이수 지원 온라인 수업(문학),[연합]이현진,기타,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000957
국어,[올림포스] 독서와 작문 (2022 개정),차해나,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000948
국어,[올림포스] 화법과 언어 (2022 개정),김상태,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000949
국어,[2027 수능개념] 윤혜정의 개념의 나비효과 수능 편,윤혜정,문제풀이,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000785
국어,[2027 수능개념] 윤혜정의 개념의 나비효과 수능 편 워크북,윤혜정,문제풀이,기초,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000787
국어,[2027 수능개념] 윤혜정의 패턴의 나비효과,윤혜정,문제풀이,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000789
국어,"[(고1, 2를 위한) 2028 수능개념] 최서희의 국어 담판",최서희,입문,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000810
국어,"[(고1, 2를 위한) 2028 수능개념] 한병훈의 퀀텀점프",한병훈,입문,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000811
국어,"[(고1, 2를 위한) 2028 수능개념] 이현진의 화언장담 - 화법과 언어",이현진,입문,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000812
국어,"[(고1, 2를 위한) 2028 수능개념] 김철회의 알고리즘 독서와 작문",김철회,입문,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000813
국어,"[(고1, 2를 위한) 2028 수능개념] 남궁민의 개기일식 문학",남궁민,입문,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000814
국어,[국어의 원리] 고전 시가 독해,조은아,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000726
국어,[국어의 원리] 고전 시가 독해 워크북,김진원,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000727
국어,고등학교 학점 이수 지원 온라인 수업(화법과 언어),[연합]김상태,기타,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000955
국어,고등학교 학점 이수 지원 온라인 수업(독서와 작문),[연합]김상태,기타,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000956
국어,고등학교 학점 이수 지원 온라인 수업(문학),[연합]이현진,기타,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000957
국어,[올림포스] 독서와 작문 (2022 개정),차해나,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000948
국어,[올림포스] 화법과 언어 (2022 개정),김상태,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000949
국어,[2027 수능개념] 윤혜정의 개념의 나비효과 수능 편,윤혜정,문제풀이,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000785
국어,[2027 수능개념] 윤혜정의 개념의 나비효과 수능 편 워크북,윤혜정,문제풀이,기초,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000787
국어,[2027 수능개념] 윤혜정의 패턴의 나비효과,윤혜정,문제풀이,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000789
국어,"[(고1, 2를 위한) 2028 수능개념] 최서희의 국어 담판",최서희,입문,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000810
국어,"[(고1, 2를 위한) 2028 수능개념] 한병훈의 퀀텀점프",한병훈,입문,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000811
국어,"[(고1, 2를 위한) 2028 수능개념] 이현진의 화언장담 - 화법과 언어",이현진,입문,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000812
국어,"[(고1, 2를 위한) 2028 수능개념] 김철회의 알고리즘 독서와 작문",김철회,입문,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000813
국어,"[(고1, 2를 위한) 2028 수능개념] 남궁민의 개기일식 문학",남궁민,입문,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000814
국어,[국어의 원리] 고전 시가 독해,조은아,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000726
국어,[국어의 원리] 고전 시가 독해 워크북,김진원,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000727
영어,[2026 전국영어듣기평가] 고2 해설 (4월),김보라,문제풀이,공통,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20260000070
영어,고등학교 학점 이수 지원 온라인 수업(영어Ⅰ),김제희,기타,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000711
영어,고등학교 학점 이수 지원 온라인 수업(영어Ⅱ),박재창,기타,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000712
영어,고등학교 학점 이수 지원 온라인 수업(영어 독해와 작문),김예령,기타,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000713
영어,"[(고1, 2를 위한) 2028 수능개념] 김예령의 구문 Fit",김예령,입문,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000820
영어,"[(고1, 2를 위한) 2028 수능개념] 김제희의 Close-Up 구문·구조 독해",김제희,입문,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000821
영어,"[(고1, 2를 위한) 2028 수능개념] 이자인의 독해의 디자인",이자인,입문,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000822
영어,"[(고1, 2를 위한) 2028 수능개념] 박재창의 BETTERY -독해력, 한 권으로 풀충전-",박재창,입문,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000823
영어,"[(고1, 2를 위한) 2028 수능개념] 김용지의 용~한마리 영어듣기 Basic",김용지,입문,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000824
영어,[하루 6개 1등급 영어독해] 전국연합학력평가 기출 고2,김수연,문제풀이,발전,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000732
영어,[수능특강 Light] 영어 (2022 개정),이상미,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000724
영어,[수능특강 Light] 영어독해연습 (2022 개정),김보라,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000725
영어,[2026 올림포스 전국연합학력평가 기출문제집] 영어독해(고2),박재혁,문제풀이,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000723
영어,[1등급 2주 특강] 고2 학평 기출 - 영어(10월),이자인,학교시험대비,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000780
영어,[2025 전국영어듣기평가] 고2 해설 (9월),김보라,문제풀이,공통,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000578
영어,[2026 전국영어듣기평가] 고2 해설 (4월),김보라,문제풀이,공통,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20260000070
